Website,Packets,Bytes,Total Packets,Percent Filtered,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Duration,Bits/s A → B,Bits/s B → A
github.csv,1,718,50,2.0,1,718,0,0,9.187144999999989,625,0
github.csv,1,712,773,0.13,1,712,0,0,14.708987999999977,387,0
github.csv,1,718,33,3.03,1,718,0,0,13.897301999999968,413,0
github.csv,1,712,250,0.4,1,712,0,0,31.82087200000001,179,0
github.csv,1,718,30,3.33,1,718,0,0,32.92789599999992,174,0
github.csv,1,712,32,3.13,1,712,0,0,30.160575999999992,188,0
github.csv,1,883,984,0.1,1,883,0,0,20.65765599999997,341,0
github.csv,1,889,43,2.33,1,889,0,0,20.02320099999997,355,0
github.csv,1,712,764,0.13,1,712,0,0,11.449813000000065,497,0
github.csv,1,718,37,2.7,1,718,0,0,10.65437499999996,539,0
github.csv,1,712,1390,0.07,1,712,0,0,38.58935799999995,147,0
github.csv,1,718,57,1.75,1,718,0,0,56.49881700000015,101,0
github.csv,1,883,379,0.26,1,883,0,0,11.632295999999997,607,0
github.csv,1,712,587,0.17,1,712,0,0,37.92432800000006,150,0
github.csv,1,718,38,2.63,1,718,0,0,82.89578100000017,69,0
github.csv,1,883,310,0.32,1,883,0,0,21.667715000000044,326,0
github.csv,1,712,2999,0.03,1,712,0,0,62.381754999999885,91,0
github.csv,1,718,67,1.49,1,718,0,0,61.49749400000019,93,0
github.csv,1,712,1268,0.08,1,712,0,0,28.672665999999936,198,0
github.csv,1,718,38,2.63,1,718,0,0,27.99228599999992,205,0
github.csv,1,712,1261,0.08,1,712,0,0,23.163493000000017,245,0
github.csv,1,718,48,2.08,1,718,0,0,21.89604600000007,262,0
github.csv,1,712,2631,0.04,1,712,0,0,33.752873000000136,168,0
github.csv,1,718,56,1.79,1,718,0,0,32.93796199999997,174,0
github.csv,1,712,920,0.11,1,712,0,0,38.98510400000009,146,0
github.csv,1,718,38,2.63,1,718,0,0,38.18883400000004,150,0
github.csv,1,712,675,0.15,1,712,0,0,9.100729,625,0
github.csv,1,718,35,2.86,1,718,0,0,8.280846999999994,693,0
github.csv,1,712,568,0.18,1,712,0,0,19.62514699999997,290,0
github.csv,1,718,38,2.63,1,718,0,0,18.84944900000005,304,0
github.csv,1,712,924,0.11,1,712,0,0,37.35681199999999,152,0
github.csv,1,718,37,2.7,1,718,0,0,36.59382499999992,156,0
github.csv,1,712,528,0.19,1,712,0,0,24.405422999999928,233,0
github.csv,1,718,35,2.86,1,718,0,0,23.636031000000003,243,0
github.csv,1,712,29,3.45,1,712,0,0,14.110672000000022,403,0
github.csv,1,712,937,0.11,1,712,0,0,26.21955699999989,217,0
github.csv,1,718,36,2.78,1,718,0,0,24.08630099999982,238,0
github.csv,1,712,37,2.7,1,712,0,0,14.297786999999971,398,0
github.csv,1,712,1127,0.09,1,712,0,0,16.11239599999999,353,0
github.csv,1,718,40,2.5,1,718,0,0,15.4162359999998,372,0
github.csv,1,712,1157,0.09,1,712,0,0,50.56691000000001,112,0
github.csv,1,718,53,1.89,1,718,0,0,49.71048700000006,115,0
github.csv,1,728,3283,0.03,1,728,0,0,27.89093600000001,208,0
github.csv,1,724,21,4.76,1,724,0,0,0.0644979999999577,89801,0
github.csv,1,712,245,0.41,1,712,0,0,13.75535100000002,414,0
github.csv,1,718,30,3.33,1,718,0,0,12.877662999999984,446,0
github.csv,1,712,787,0.13,1,712,0,0,10.796452000000045,527,0
