Website,Length,Protocol,Info
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1262,TLSv1.3,Application Data
github.csv,54,TCP,56542  >  443 [ACK] Seq=2863 Ack=69871 Win=132096 Len=0
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1270,TLSv1.3,Application Data
github.csv,54,TCP,56542  >  443 [ACK] Seq=2863 Ack=72515 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=2863 Ack=75167 Win=132096 Len=0
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1268,TLSv1.3,Application Data
github.csv,54,TCP,56542  >  443 [ACK] Seq=2863 Ack=78039 Win=132096 Len=0
github.csv,597,TLSv1.3,Application Data
github.csv,182,TLSv1.3,Application Data
github.csv,92,TCP,443  >  56542 [ACK] Seq=79253 Ack=3534 Win=78848 Len=0
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1256,TLSv1.3,Application Data
github.csv,54,TCP,56542  >  443 [ACK] Seq=3534 Ack=82125 Win=132096 Len=0
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1180,TLSv1.3,Application Data
github.csv,54,TCP,56542  >  443 [ACK] Seq=3534 Ack=84763 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=3534 Ack=87325 Win=132096 Len=0
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,898,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,54,TCP,56542  >  443 [ACK] Seq=3534 Ack=90197 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=3534 Ack=92477 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=3534 Ack=95349 Win=132096 Len=0
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,990,TLSv1.3,Application Data
github.csv,54,TCP,56542  >  443 [ACK] Seq=3534 Ack=98221 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=3534 Ack=100593 Win=132096 Len=0
github.csv,583,TLSv1.3,Application Data
github.csv,89,TLSv1.3,Application Data
github.csv,92,TCP,443  >  56542 [ACK] Seq=100593 Ack=4098 Win=79872 Len=0
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,"Application Data, Application Data"
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,"Application Data, Application Data"
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,54,TCP,56542  >  443 [ACK] Seq=4098 Ack=103465 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=4098 Ack=106337 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=4098 Ack=109209 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=4098 Ack=112081 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=4098 Ack=114953 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=4098 Ack=117825 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=4098 Ack=120697 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=4098 Ack=123569 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=4098 Ack=126441 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=4098 Ack=129313 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=4098 Ack=132185 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=4098 Ack=135057 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=4098 Ack=137929 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=4098 Ack=140801 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=4098 Ack=143673 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=4098 Ack=146545 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=4098 Ack=149417 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=4098 Ack=152289 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=4098 Ack=155161 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=4098 Ack=158033 Win=132096 Len=0
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,54,TCP,56542  >  443 [ACK] Seq=4098 Ack=160905 Win=132096 Len=0
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1235,TLSv1.3,"Application Data, Application Data"
github.csv,54,TCP,56542  >  443 [ACK] Seq=4098 Ack=163777 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=4098 Ack=166649 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=4098 Ack=169521 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=4098 Ack=172393 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=4098 Ack=175265 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=4098 Ack=178137 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=4098 Ack=181009 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=4098 Ack=182190 Win=130816 Len=0
github.csv,921,TLSv1.3,Application Data
github.csv,1068,TLSv1.3,Application Data
github.csv,92,TCP,443  >  56542 [ACK] Seq=182190 Ack=4965 Win=81920 Len=0
github.csv,92,TCP,443  >  56542 [ACK] Seq=182190 Ack=5979 Win=83968 Len=0
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,767,TLSv1.3,Application Data
github.csv,54,TCP,56542  >  443 [ACK] Seq=5979 Ack=185062 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=5979 Ack=187934 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=5979 Ack=188647 Win=131328 Len=0
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,295,TLSv1.3,"Application Data, Application Data"
github.csv,54,TCP,56542  >  443 [ACK] Seq=5979 Ack=191519 Win=132096 Len=0
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,54,TCP,56542  >  443 [ACK] Seq=5979 Ack=194391 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=5979 Ack=197263 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=5979 Ack=200135 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=5979 Ack=203007 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=5979 Ack=205879 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=5979 Ack=208751 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=5979 Ack=211623 Win=132096 Len=0
